episode,total_reward,episode_length,avg_loss,avg_q_value,epsilon,timestamp,total_steps,training_time_seconds,eval_reward,buffer_reward_min,buffer_reward_max,buffer_reward_mean,buffer_reward_std
2549,575.0,365,0.006674484808981005,144.11934035533184,0.01,2026-01-23T00:17:13.967054,1021592,1.087108850479126,,0.0,3.25,0.00856,0.13269034
2550,50.0,462,0.009112547313713509,210.1898714977762,0.01,2026-01-23T00:17:15.444833,1022054,1.3322899341583252,,0.0,3.25,0.00855,0.13268158
2551,575.0,427,0.006578213440000333,129.11862143804862,0.01,2026-01-23T00:17:16.699986,1022481,1.2377164363861084,,0.0,3.25,0.00858,0.13270788
2552,50.0,449,0.002649675700178539,195.38526890494606,0.01,2026-01-23T00:17:18.001110,1022930,1.2826128005981445,,0.0,3.25,0.008495,0.13189612
2553,50.0,415,0.007349626757093661,207.76736068725586,0.01,2026-01-23T00:17:19.215085,1023345,1.1958014965057373,,0.0,3.25,0.00841,0.13107926
2554,475.0,403,0.013168846332700924,91.02079362869263,0.01,2026-01-23T00:17:20.415154,1023748,1.1812913417816162,,0.0,3.25,0.0085,0.13190052
2555,575.0,472,0.007884818248187556,104.41993886486013,0.01,2026-01-23T00:17:21.787037,1024220,1.3545711040496826,,0.0,3.25,0.00843,0.13109708
2556,50.0,462,0.003733605806094905,194.37879919498525,0.01,2026-01-23T00:17:23.213251,1024682,1.4086158275604248,,0.0,3.25,0.00832,0.13025275
2557,475.0,418,0.00905618176329881,103.4446934025462,0.01,2026-01-23T00:17:24.451028,1025100,1.2187762260437012,,0.0,3.25,0.00833,0.1302617
2558,350.0,350,0.00982089368497125,166.50918927873883,0.01,2026-01-23T00:17:25.495255,1025450,1.0260136127471924,,0.0,3.25,0.00837,0.13104366
2559,575.0,347,0.00821060678401195,147.47304526737759,0.01,2026-01-23T00:17:26.519940,1025797,1.0072062015533447,,0.0,3.25,0.00839,0.13106146
2560,475.0,432,0.006863841919270767,93.99577823905058,0.01,2026-01-23T00:17:27.830138,1026229,1.2925450801849365,,0.0,3.25,0.008475,0.13187844
2561,475.0,403,0.00915941792773083,96.59582832382947,0.01,2026-01-23T00:17:29.030452,1026632,1.1820223331451416,,0.0,3.25,0.008495,0.13189612
2562,475.0,450,0.006429219080651503,94.73075529138247,0.01,2026-01-23T00:17:30.375448,1027082,1.3274831771850586,,0.0,3.25,0.00858,0.13270788
2563,475.0,449,0.009109689004782756,81.57468079460992,0.01,2026-01-23T00:17:31.700329,1027531,1.3073303699493408,,0.0,3.25,0.008665,0.13351469
2564,575.0,347,0.010854197967359248,135.06725563722497,0.01,2026-01-23T00:17:32.776634,1027878,1.0587823390960693,,0.0,3.25,0.00871,0.13355389
2565,50.0,515,0.008891473833220797,206.4245731647198,0.01,2026-01-23T00:17:34.377316,1028393,1.5823192596435547,,0.0,3.25,0.008595,0.13272102
2566,475.0,362,0.006525197903910238,113.4115416208903,0.01,2026-01-23T00:17:35.506551,1028755,1.1110420227050781,,0.0,3.25,0.00858,0.13259481
2567,600.0,419,0.010810721967746281,162.414397194272,0.01,2026-01-23T00:17:36.786930,1029174,1.2626309394836426,,0.0,3.25,0.008605,0.13261676
2568,575.0,440,0.005297762643418868,102.41575370864435,0.01,2026-01-23T00:17:38.120208,1029614,1.3135201930999756,,0.0,3.25,0.00871,0.13344152
2569,475.0,351,0.01277980045738837,149.1182716369629,0.01,2026-01-23T00:17:39.176426,1029965,1.0385921001434326,,0.0,3.25,0.008805,0.13425244
2570,50.0,354,0.002915038193082985,202.3426522391183,0.01,2026-01-23T00:17:40.223984,1030319,1.0301282405853271,,0.0,3.25,0.008815,0.1342611
2571,450.0,357,0.004670929008473952,197.36827998691135,0.01,2026-01-23T00:17:41.283863,1030676,1.042039155960083,,0.0,3.25,0.00881,0.13425677
